pedestrianId simTime groupId-PID5
1 0.4 0
2 0.4 0
3 0.4 0
4 0.4 0
5 0.4 0
6 0.4 0
7 0.4 0
8 0.4 0
9 0.4 0
10 0.4 0
11 0.4 0
12 0.4 0
13 0.4 0
14 0.4 0
15 0.4 0
16 0.4 0
17 0.4 0
18 0.4 0
19 0.4 0
20 0.4 0
21 0.4 0
22 0.4 0
23 0.4 0
24 0.4 0
25 0.4 0
26 0.4 0
27 0.4 0
28 0.4 0
29 0.4 0
30 0.4 0
31 0.4 0
32 0.4 0
33 0.4 0
34 0.4 0
35 0.4 0
36 0.4 0
37 0.4 0
38 0.4 0
39 0.4 0
40 0.4 0
41 0.4 0
42 0.4 0
43 0.4 0
44 0.4 0
45 0.4 0
46 0.4 0
47 0.4 0
48 0.4 0
49 0.4 0
50 0.4 0
51 0.4 1
52 0.4 0
53 0.4 1
54 0.4 1
55 0.4 1
56 0.4 1
57 0.4 1
58 0.4 1
59 0.4 0
60 0.4 1
61 0.4 1
62 0.4 1
63 0.4 1
64 0.4 1
65 0.4 1
66 0.4 1
67 0.4 1
68 0.4 1
69 0.4 1
70 0.4 1
71 0.4 1
72 0.4 1
73 0.4 1
74 0.4 1
75 0.4 1
76 0.4 1
77 0.4 1
78 0.4 1
79 0.4 1
80 0.4 1
81 0.4 1
82 0.4 1
83 0.4 1
84 0.4 1
85 0.4 0
86 0.4 1
87 0.4 1
88 0.4 1
89 0.4 1
90 0.4 1
91 0.4 1
92 0.4 1
93 0.4 1
94 0.4 1
95 0.4 1
96 0.4 1
97 0.4 1
98 0.4 1
99 0.4 1
100 0.4 1
4 0.9 0
5 0.9 0
7 0.9 0
12 0.9 0
16 0.9 0
17 0.9 0
19 0.9 0
28 0.9 0
35 0.9 0
37 0.9 0
41 0.9 0
42 0.9 0
44 0.9 0
53 0.9 1
56 0.9 1
57 0.9 1
59 0.9 0
65 0.9 1
66 0.9 1
67 0.9 1
71 0.9 1
72 0.9 1
75 0.9 1
76 0.9 1
77 0.9 1
79 0.9 1
85 0.9 0
87 0.9 1
88 0.9 1
89 0.9 1
91 0.9 1
92 0.9 1
98 0.9 1
99 0.9 1
1 1.0 0
3 1.0 0
8 1.0 0
9 1.0 0
10 1.0 0
11 1.0 0
13 1.0 0
14 1.0 0
18 1.0 0
20 1.0 0
21 1.0 0
22 1.0 0
24 1.0 0
25 1.0 0
26 1.0 0
29 1.0 0
30 1.0 0
36 1.0 0
38 1.0 0
40 1.0 0
43 1.0 0
46 1.0 0
47 1.0 0
48 1.0 0
49 1.0 0
50 1.0 0
51 1.0 1
52 1.0 0
55 1.0 1
58 1.0 1
61 1.0 1
62 1.0 1
64 1.0 1
68 1.0 1
69 1.0 1
78 1.0 1
80 1.0 1
83 1.0 1
84 1.0 1
90 1.0 1
93 1.0 1
94 1.0 1
96 1.0 1
100 1.0 1
2 1.1 0
15 1.1 0
27 1.1 0
31 1.1 0
33 1.1 0
34 1.1 0
45 1.1 0
54 1.1 1
60 1.1 1
63 1.1 1
70 1.1 1
73 1.1 1
74 1.1 1
82 1.1 1
86 1.1 1
95 1.1 1
97 1.1 1
6 1.2 0
23 1.2 0
32 1.2 0
39 1.2 0
81 1.2 1
65 1.3 1
75 1.3 1
99 1.3 1
4 1.4 0
12 1.4 0
16 1.4 0
17 1.4 0
19 1.4 0
42 1.4 0
53 1.4 1
56 1.4 1
57 1.4 1
59 1.4 0
67 1.4 1
72 1.4 1
79 1.4 1
85 1.4 0
87 1.4 1
88 1.4 1
92 1.4 1
5 1.5 0
7 1.5 0
8 1.5 0
11 1.5 0
13 1.5 0
20 1.5 0
28 1.5 0
35 1.5 0
37 1.5 0
41 1.5 0
44 1.5 0
46 1.5 0
50 1.5 0
58 1.5 1
66 1.5 1
71 1.5 1
76 1.5 1
77 1.5 1
78 1.5 1
80 1.5 1
84 1.5 1
89 1.5 1
90 1.5 1
91 1.5 1
98 1.5 1
100 1.5 1
1 1.6 0
3 1.6 0
9 1.6 0
18 1.6 0
21 1.6 0
22 1.6 0
24 1.6 0
25 1.6 0
26 1.6 0
29 1.6 0
36 1.6 0
38 1.6 0
40 1.6 0
47 1.6 0
48 1.6 0
51 1.6 1
55 1.6 1
61 1.6 1
62 1.6 1
64 1.6 1
68 1.6 1
69 1.6 1
83 1.6 1
93 1.6 1
94 1.6 1
96 1.6 1
10 1.7 0
14 1.7 0
15 1.7 0
30 1.7 0
31 1.7 0
43 1.7 0
45 1.7 0
49 1.7 0
52 1.7 0
60 1.7 0
74 1.7 1
82 1.7 1
2 1.8 0
27 1.8 0
33 1.8 0
54 1.8 0
63 1.8 1
65 1.8 1
73 1.8 1
75 1.8 1
86 1.8 1
95 1.8 1
97 1.8 1
99 1.8 1
4 1.9 0
6 1.9 0
12 1.9 0
16 1.9 0
19 1.9 0
34 1.9 0
42 1.9 0
53 1.9 1
56 1.9 1
57 1.9 1
67 1.9 1
70 1.9 1
79 1.9 1
85 1.9 0
87 1.9 1
88 1.9 1
92 1.9 1
5 2.0 0
7 2.0 0
17 2.0 0
23 2.0 0
28 2.0 0
32 2.0 0
35 2.0 0
37 2.0 0
39 2.0 0
41 2.0 0
44 2.0 0
59 2.0 0
66 2.0 1
71 2.0 1
72 2.0 1
76 2.0 1
77 2.0 1
81 2.0 1
89 2.0 1
91 2.0 1
98 2.0 1
8 2.1 0
11 2.1 0
13 2.1 0
20 2.1 0
36 2.1 0
46 2.1 0
50 2.1 0
58 2.1 1
78 2.1 1
80 2.1 1
84 2.1 1
90 2.1 1
93 2.1 1
96 2.1 1
100 2.1 1
3 2.2 0
9 2.2 0
18 2.2 0
22 2.2 0
24 2.2 0
26 2.2 0
29 2.2 0
38 2.2 0
48 2.2 0
51 2.2 1
55 2.2 1
62 2.2 1
64 2.2 1
65 2.2 1
68 2.2 1
75 2.2 1
83 2.2 1
94 2.2 1
1 2.3 0
10 2.3 0
14 2.3 0
21 2.3 0
25 2.3 0
30 2.3 0
40 2.3 0
43 2.3 0
47 2.3 0
49 2.3 0
52 2.3 0
61 2.3 1
69 2.3 1
87 2.3 1
99 2.3 1
12 2.4 0
15 2.4 0
16 2.4 0
31 2.4 0
42 2.4 0
45 2.4 0
53 2.4 1
54 2.4 0
56 2.4 1
57 2.4 1
60 2.4 0
67 2.4 1
73 2.4 1
74 2.4 1
79 2.4 1
82 2.4 1
85 2.4 0
86 2.4 1
92 2.4 1
95 2.4 1
2 2.5 0
4 2.5 0
5 2.5 0
17 2.5 0
19 2.5 0
27 2.5 0
41 2.5 0
44 2.5 0
59 2.5 0
63 2.5 1
71 2.5 1
72 2.5 1
76 2.5 1
88 2.5 1
91 2.5 1
97 2.5 1
7 2.6 0
11 2.6 0
13 2.6 0
20 2.6 0
28 2.6 0
33 2.6 0
34 2.6 0
35 2.6 0
37 2.6 0
46 2.6 0
58 2.6 1
66 2.6 1
70 2.6 1
77 2.6 1
78 2.6 1
84 2.6 1
89 2.6 1
90 2.6 1
98 2.6 1
6 2.7 0
8 2.7 0
18 2.7 0
23 2.7 0
36 2.7 0
39 2.7 0
48 2.7 0
50 2.7 0
65 2.7 1
75 2.7 1
80 2.7 1
93 2.7 1
96 2.7 1
99 2.7 1
100 2.7 1
3 2.8 0
9 2.8 0
22 2.8 0
24 2.8 0
26 2.8 0
29 2.8 0
51 2.8 1
55 2.8 1
62 2.8 1
64 2.8 1
67 2.8 1
68 2.8 1
81 2.8 1
83 2.8 1
87 2.8 1
94 2.8 1
1 2.9 0
10 2.9 0
16 2.9 0
21 2.9 0
25 2.9 0
32 2.9 0
38 2.9 0
40 2.9 0
42 2.9 0
47 2.9 0
52 2.9 0
53 2.9 1
56 2.9 1
61 2.9 1
69 2.9 1
79 2.9 1
85 2.9 0
92 2.9 1
4 3.0 0
12 3.0 0
14 3.0 0
15 3.0 0
17 3.0 0
19 3.0 0
30 3.0 0
31 3.0 0
43 3.0 0
49 3.0 0
57 3.0 1
59 3.0 0
72 3.0 1
74 3.0 1
76 3.0 1
88 3.0 1
5 3.1 0
7 3.1 0
28 3.1 2
35 3.1 0
37 3.1 0
41 3.1 0
44 3.1 0
45 3.1 0
54 3.1 0
60 3.1 0
66 3.1 1
71 3.1 1
73 3.1 1
77 3.1 1
82 3.1 1
86 3.1 1
89 3.1 1
91 3.1 1
95 3.1 1
98 3.1 1
2 3.2 0
8 3.2 0
11 3.2 0
13 3.2 0
20 3.2 0
27 3.2 0
46 3.2 0
50 3.2 0
58 3.2 1
63 3.2 1
65 3.2 1
75 3.2 1
78 3.2 1
84 3.2 1
90 3.2 1
97 3.2 1
99 3.2 1
100 3.2 1
18 3.3 0
24 3.3 0
33 3.3 0
36 3.3 0
48 3.3 2
67 3.3 1
68 3.3 1
80 3.3 1
87 3.3 1
92 3.3 1
93 3.3 1
96 3.3 1
3 3.4 0
6 3.4 0
9 3.4 0
16 3.4 0
22 3.4 0
29 3.4 0
34 3.4 0
42 3.4 0
51 3.4 1
53 3.4 1
55 3.4 1
56 3.4 1
62 3.4 1
64 3.4 1
70 3.4 1
79 3.4 1
83 3.4 1
94 3.4 1
1 3.5 0
4 3.5 0
12 3.5 0
17 3.5 0
19 3.5 0
21 3.5 0
23 3.5 0
25 3.5 0
26 3.5 0
38 3.5 0
39 3.5 0
40 3.5 0
47 3.5 0
52 3.5 0
57 3.5 1
59 3.5 0
61 3.5 1
69 3.5 1
72 3.5 1
85 3.5 0
88 3.5 1
5 3.6 0
10 3.6 0
14 3.6 0
30 3.6 0
37 3.6 0
41 3.6 0
43 3.6 0
44 3.6 0
49 3.6 0
65 3.6 1
71 3.6 1
75 3.6 1
76 3.6 1
81 3.6 1
91 3.6 1
98 3.6 1
7 3.7 0
15 3.7 0
20 3.7 0
28 3.7 2
31 3.7 0
32 3.7 0
35 3.7 0
45 3.7 0
58 3.7 1
60 3.7 0
66 3.7 1
74 3.7 1
77 3.7 1
78 3.7 1
82 3.7 1
84 3.7 1
89 3.7 1
90 3.7 1
99 3.7 1
8 3.8 0
11 3.8 0
13 3.8 0
46 3.8 0
50 3.8 0
54 3.8 0
67 3.8 1
73 3.8 1
80 3.8 1
86 3.8 1
87 3.8 1
92 3.8 1
95 3.8 1
100 3.8 1
2 3.9 0
16 3.9 0
18 3.9 0
24 3.9 0
27 3.9 0
36 3.9 0
42 3.9 0
48 3.9 2
53 3.9 1
62 3.9 1
63 3.9 1
68 3.9 1
79 3.9 1
93 3.9 1
96 3.9 1
97 3.9 1
3 4.0 0
4 4.0 0
9 4.0 0
12 4.0 0
17 4.0 0
19 4.0 0
22 4.0 0
29 4.0 0
33 4.0 0
55 4.0 1
56 4.0 1
57 4.0 1
59 4.0 0
64 4.0 1
72 4.0 1
83 4.0 1
85 4.0 0
88 4.0 1
94 4.0 1
1 4.1 0
5 4.1 0
21 4.1 0
25 4.1 0
26 4.1 0
34 4.1 0
38 4.1 0
40 4.1 0
41 4.1 0
47 4.1 0
51 4.1 1
61 4.1 1
65 4.1 1
69 4.1 1
70 4.1 1
71 4.1 1
75 4.1 1
76 4.1 1
91 4.1 1
99 4.1 1
6 4.2 0
7 4.2 0
10 4.2 0
28 4.2 2
35 4.2 0
37 4.2 0
44 4.2 0
52 4.2 0
66 4.2 1
77 4.2 1
89 4.2 1
98 4.2 1
11 4.3 0
13 4.3 0
14 4.3 0
20 4.3 0
23 4.3 0
30 4.3 0
39 4.3 0
43 4.3 0
46 4.3 0
49 4.3 0
